CITY,PRICE,BEDS,BATHS,SQFT,PRICE/SQFT
Charlotte,405418.0,3.0,2.5,1916.0,212.0
Charlotte,434316.0,3.0,3.5,2077.0,209.0
Charlotte,466060.0,3.0,3.5,2142.0,218.0
Stallings,452640.0,2.0,2.0,1518.0,298.0
Charlotte,325000.0,3.0,2.5,3001.0,108.0
Stallings,542860.0,3.0,3.0,2618.0,207.0
Stallings,477410.0,3.0,3.0,2832.0,169.0
Charlotte,486505.0,3.0,3.5,1581.0,308.0
Charlotte,402416.0,3.0,2.5,1916.0,210.0
Charlotte,428845.0,3.0,3.0,1848.0,232.0
Charlotte,1295000.0,5.0,4.0,3532.0,367.0
Charlotte,550000.0,3.0,2.0,2087.0,264.0
Charlotte,270000.0,3.0,2.5,1220.0,221.0
Charlotte,172000.0,2.0,1.0,986.0,174.0
Charlotte,483945.0,3.0,2.5,1807.0,268.0
Charlotte,455510.0,2.0,2.0,1730.0,263.0
Charlotte,350000.0,5.0,2.5,1903.0,184.0
Charlotte,452610.0,2.0,2.5,1370.0,330.0
Charlotte,395439.0,3.0,2.5,1735.0,228.0
Stallings,438197.0,3.0,3.0,1880.0,233.0
Charlotte,436395.0,4.0,2.5,2203.0,198.0
Charlotte,210000.0,2.0,2.0,1028.0,204.0
Charlotte,400000.0,3.0,2.0,1898.0,211.0
Charlotte,170000.0,3.0,1.0,1452.0,117.0
Mint Hill,579059.0,4.0,3.0,2762.0,210.0
Charlotte,332571.0,3.0,2.5,1628.0,204.0
Charlotte,450310.0,4.0,2.5,2143.0,210.0
Charlotte,428750.0,5.0,2.0,2167.0,198.0
Charlotte,210000.0,3.0,2.0,1220.0,172.0
Stallings,633385.0,3.0,3.0,2832.0,224.0
Charlotte,386330.0,3.0,2.5,1742.0,222.0
Charlotte,627028.0,4.0,3.5,2122.0,295.0
Charlotte,396395.0,4.0,2.5,2203.0,180.0
Charlotte,406978.0,3.0,2.5,1916.0,212.0
Charlotte,650000.0,3.0,1.5,1839.0,353.0
Charlotte,428475.0,4.0,2.5,2825.0,152.0
Stallings,484845.0,3.0,3.0,2167.0,224.0
