CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,PRICE/SQFT
Houston,225950.0,3.0,2.0,Woodland Trails Sec 04,1842.0,1972.0,123.0
Houston,275000.0,3.0,2.0,Canyon Lks/stonegate Sec 11,1693.0,2006.0,162.0
Houston,168000.0,4.0,1.0,Benbrook Add Sec 01,1482.0,1955.0,113.0
Houston,185000.0,4.0,2.0,Wedgefield Estates,1194.0,2007.0,155.0
Houston,554200.0,3.0,2.0,Springrock Lane Sec 1,2946.0,1999.0,188.0
Houston,349900.0,4.0,2.0,Oak Forest,1592.0,1954.0,220.0
Houston,269037.0,3.0,2.0,Imperial Heights,2094.0,2022.0,128.0
Tomball,425000.0,4.0,3.0,Villaggio Sec 01,2947.0,2000.0,144.0
Houston,355000.0,3.0,3.0,Clark Street Lndg,1731.0,2017.0,205.0
Houston,374000.0,3.0,2.0,Berkshire Sec 01,2405.0,2003.0,156.0
